1990年 中国 共产党 的 总 书记 是 谁	Person
被 火烧 死 的 革命 战士 是 谁	Person
请 问 初唐 四 杰是 哪 四位	Person
中国 第一 枚 奥运会 游泳 金牌 获得者 是 谁 ?	Person
谁 领导 中国 人民 创立 了 新 中国	Person
我国 古代 历法 " 十二 气 历 " 是 谁 提出 的	Person
中国 共产党 的 创始人 李大钊 是 被 什么 人 杀害 的	Person
谁 发现 的 万有引力 定理	Person
《 白雪 公主 》 的 作者 是 谁	Person
《 黄河 大 合唱 》 的 作曲者 是 谁	Person
《 儒林 外史 》 的 作者 是 谁	Person
《 宿命 》 是 谁 的 作品	Person
三 国 演义 中 蜀国 的 五 虎 大将 里 被 称为 常胜 将军 的 是 谁	Person
抗美援朝 中国 人民 志愿军 司令员 是 谁	Person
羽毛球界 被 称为 超级丹 的 运动员 是 谁	Person
世界 名画 《 和平鸽 》 的 创作者 是 谁	Person
被 称为 书圣 的 古代 书法家 是 哪个	Person
清朝 太 后 身边 最 著名 的 贴身 太监 叫 什么	Person
是 谁 发明 的 地震仪	Person
是 谁 发明 的 印刷术	Person
谁 写 了 著名 的 诗篇 《 将 进酒 》	Person
谁 是 中国 第一 任 的 外交 部长	Person
谁 在 香港 电影 《 花样 年华 》 中 饰演 男 主角	Person
宋朝 的 开国 皇帝 是 谁	Person
唐朝 的 第一 个 皇帝 是 谁	Person
卧龙 先生 是 谁	Person
射雕 英雄 传 的 作者 是 谁	Person
已 使用 有 小哥 一 称 ， 与 周杰伦 共同 演唱 千 里 之外 的 男 歌手 是 谁	Person
纸 是 谁 发明 的	Person
中国 参加 奥运会 次数 最 多 的 运动员 是 谁	Person
作家 老舍 的 原名 叫 什么	Person
谁 粉碎 了 四人帮	Person
徐克 电影 笑傲 江湖 东方不败 的 东方不败 由 哪位 女 演员 扮演 的	Person
中国 空军 第一 任 总司令 是 谁	Person
中华 人民 共和国 是 哪位 民主 人士 提出 的	Person
《 二 泉 映 月 》 的 作者 原名 是 什么	Person
自由 落体 定律 由 谁 发现	Person
最早 发现 x 射线 的 科学家 是 谁	Person
微软 亚洲 研究 院的 院长 是 谁	Person
中国 共产党 这个 名称 是 谁 最早 提出 的	Person
我国 军史 上 第一 位 女 将军 是 谁	Person
现代 奥林匹克 运动 创始人 是 谁	Person
文学 名著 《 西游记 》 是 谁 的 作品	Person
星际 航行 理论 的 开创者 是 哪位 科学家	Person
中国 古代 哪 一 位 曾 被 称为 “ 药王 ”	Person
谁 是 微软 的 首席 执行官	Person
谁 死 后 布 了 七十二 疑冢	Person
曾 饰演 许文强 ， 小马 哥 ， 赌神 ， 等 经典 角色 的 香港 男 影星 是 谁	Person
谁 发明 了 蒸汽机	Person
中国 古代 名医 华佗 为 谁 所 杀	Person
谁 提出 了 改革 开放	Person
APDPlat 的 发起人 是 谁 ？	Person
被 称为 画 圣 的 古代 画家 是 哪 一 位	Person
被 称为 酿酒 行业 的 祖师 是 谁	Person
被 今人 誉为 " 开眼 看 世界 第一 人 " 是 谁	Person
被 列为 世界 十 大 文豪 之一 的 中国 文学家 是 哪位	Person
被 誉为 “ 钢琴 之 王 ” 的 作曲家 是 谁	Person
被 誉为 乐圣 音乐家 的 是 谁	Person
